,session_id,evse_id,connector_id,start_datetime,end_datetime,total_duration,charge_duration,energy_kwh,start_soc,end_soc,flag_id
41,31156,145,277,2020-03-17 11:55:00,2020-03-17 12:10:35,0.2597222222222222,0.2533333333333333,5.0,36.0,52.0,0
42,31169,145,277,2020-03-10 14:39:25,2020-03-10 14:48:57,0.1588888888888888,0.1511111111111111,3.0,31.0,55.0,0
43,31186,145,277,2020-03-01 15:14:12,2020-03-01 15:36:10,0.3661111111111111,0.3588888888888888,7.3,36.0,75.0,0
44,31187,145,277,2020-03-01 15:12:59,2020-03-01 15:13:40,0.0113888888888888,0.0,0.0,100.0,100.0,64
45,31188,145,277,2020-03-01 08:13:04,2020-03-01 08:13:26,0.0061111111111111,0.0,0.0,0.0,84.0,64
46,31189,145,277,2020-03-01 07:44:30,2020-03-01 08:12:39,0.4691666666666667,0.4622222222222222,9.3,35.0,84.0,0
47,31191,145,277,2020-02-28 07:10:18,2020-02-28 07:22:19,0.2002777777777777,0.1886111111111111,1.2,79.0,72.0,4
48,31196,145,277,2020-02-26 13:46:18,2020-02-26 14:00:54,0.2433333333333333,0.2361111111111111,3.6,60.0,79.0,0
49,31253,145,277,2020-01-30 11:57:52,2020-01-30 12:28:49,0.5158333333333334,0.51,10.5,41.0,72.0,0
50,31261,145,277,2020-01-26 06:15:45,2020-01-26 06:29:31,0.2294444444444444,0.2222222222222222,4.4,30.0,45.0,0
51,31272,145,277,2020-01-18 14:18:44,2020-01-18 14:26:35,0.1308333333333333,0.1244444444444444,2.5,52.0,60.0,0
52,31279,145,277,2020-01-15 13:40:31,2020-01-15 14:05:27,0.4155555555555555,0.4066666666666667,8.1,21.0,65.0,0
53,31292,145,277,2020-01-02 11:49:08,2020-01-02 12:06:22,0.2872222222222222,0.2811111111111111,5.8,52.0,69.0,0
54,31317,145,277,2019-12-08 13:22:34,2019-12-08 15:09:08,1.7761111111111112,1.768888888888889,25.3,25.0,10.0,4
55,31322,145,277,2019-12-05 09:58:02,2019-12-05 11:11:26,1.2233333333333334,1.2166666666666666,11.8,65.0,98.0,0
56,31328,145,277,2019-12-03 10:26:54,2019-12-03 10:39:53,0.2163888888888888,0.2111111111111111,4.3,56.0,69.0,0
57,31332,145,277,2019-11-28 06:11:00,2019-11-28 06:23:04,0.2011111111111111,0.1961111111111111,3.9,38.0,50.0,0
58,31354,145,277,2019-11-21 13:37:55,2019-11-21 13:56:05,0.3027777777777777,0.2952777777777777,6.1,44.0,80.0,0
59,31379,145,277,2019-11-07 12:04:05,2019-11-07 12:11:08,0.1175,0.1122222222222222,2.3,54.0,61.0,0
60,31380,145,277,2019-11-06 13:43:07,2019-11-06 14:11:20,0.4702777777777778,0.4608333333333333,9.4,100.0,89.0,4
