,id,vehicle_id,km,start_datetime,stop_datetime,duration_hours,start_celsius,stop_celsius,start_rucc_id,stop_rucc_id,flag_id
39,224094,697,182.2480000000069,2021-02-03 08:00:00,2021-02-03 17:00:00,9.019722222222224,10.0,10.0,1.0,1.0,0.0
40,224095,697,184.2480000000069,2021-02-04 12:20:00,2021-02-04 21:40:00,9.291944444444445,10.0,5.0,1.0,1.0,0.0
41,224096,697,184.12400000000343,2021-02-05 07:50:00,2021-02-05 16:50:00,8.922777777777776,10.0,15.0,1.0,1.0,0.0
42,224097,697,222.87200000000308,2021-02-07 07:30:00,2021-02-07 18:20:00,10.919166666666666,5.0,10.0,1.0,1.0,0.0
43,224098,697,169.62799999999697,2021-02-08 10:10:00,2021-02-08 17:50:00,7.725,15.0,15.0,1.0,1.0,0.0
44,224099,697,184.37599999999657,2021-02-09 08:10:00,2021-02-09 17:00:00,8.901388888888889,10.0,10.0,1.0,1.0,0.0
45,224100,697,220.62400000000343,2021-02-10 07:10:00,2021-02-10 17:50:00,10.66388888888889,5.0,10.0,1.0,1.0,0.0
46,224101,697,185.87599999999657,2021-02-11 12:20:00,2021-02-11 22:00:00,9.546111111111111,15.0,10.0,1.0,1.0,0.0
47,224102,697,190.87599999999657,2021-02-12 12:40:00,2021-02-12 21:20:00,8.632777777777779,10.0,5.0,1.0,1.0,0.0
48,224103,697,167.7519999999931,2021-02-13 12:20:00,2021-02-13 20:10:00,7.865277777777777,15.0,5.0,1.0,1.0,0.0
49,224104,697,224.2479999999996,2021-02-14 07:40:00,2021-02-14 18:20:00,10.718333333333334,0.0,5.0,1.0,1.0,0.0
50,224105,697,184.12799999999697,2021-02-15 08:10:00,2021-02-15 16:40:00,8.4375,5.0,10.0,1.0,1.0,0.0
51,224106,697,190.87200000000303,2021-02-16 12:30:00,2021-02-16 21:10:00,8.585277777777778,15.0,5.0,1.0,1.0,0.0
52,224107,697,167.5,2021-02-17 05:20:00,2021-02-17 13:30:00,8.032222222222224,0.0,10.0,1.0,1.0,0.0
53,224108,697,46.37600000000385,2021-02-22 13:00:00,2021-02-22 14:50:00,1.8294444444444444,15.0,20.0,1.0,1.0,0.0
54,224109,697,37.49599999999918,2021-02-22 16:20:00,2021-02-22 17:40:00,1.2408333333333337,15.0,10.0,1.0,1.0,0.0
55,224110,697,221.2479999999996,2021-02-23 10:10:00,2021-02-23 17:00:00,6.911666666666667,15.0,20.0,1.0,1.0,0.0
56,224111,697,68.24799999999959,2021-02-24 14:20:00,2021-02-24 17:50:00,3.5025,20.0,15.0,1.0,1.0,0.0
57,224112,697,191.25200000000044,2021-02-25 12:30:00,2021-02-25 21:40:00,9.000555555555556,10.0,5.0,1.0,1.0,0.0
58,224113,697,182.0,2021-02-26 08:10:00,2021-02-26 16:50:00,8.7625,10.0,20.0,1.0,1.0,0.0
59,224114,697,178.2480000000069,2021-02-27 07:40:00,2021-02-27 19:40:00,12.000833333333333,5.0,5.0,1.0,1.0,0.0
60,224115,697,222.3760000000038,2021-02-28 07:40:00,2021-02-28 18:10:00,10.510277777777778,0.0,5.0,1.0,1.0,0.0
61,224116,697,182.0,2021-03-01 12:40:00,2021-03-01 21:10:00,8.552222222222223,15.0,5.0,1.0,1.0,0.0
62,224117,697,191.00000000000003,2021-03-02 12:30:00,2021-03-02 21:10:00,8.548055555555555,15.0,10.0,1.0,1.0,0.0
63,224118,697,182.0,2021-03-03 12:30:00,2021-03-03 21:10:00,8.613888888888889,10.0,5.0,1.0,1.0,0.0
64,224119,697,183.0,2021-03-04 12:30:00,2021-03-04 21:10:00,8.583333333333334,15.0,10.0,1.0,1.0,0.0
65,224120,697,167.0,2021-03-05 05:20:00,2021-03-05 13:20:00,7.865833333333333,5.0,20.0,1.0,1.0,0.0
